slug,market,sport,name,short_name,address,city,state,postal_code,latitude,longitude,access_type,setting,court_count,launch_reason,launch_priority,verification_status,source_tier,source_url,geocode_source,geocode_query,geocode_display_name,detection_source_id,detection_distance_m,detection_city,satellite_match_status
new-york-city-basketball-rucker-park,New York City,basketball,Holcombe Rucker Park,Rucker Park,280 W 155th St,New York,NY,10039,40.8288869,-73.9368503,public_free,outdoor,,iconic,100,source_verified,official,https://www.nycgovparks.org/parks/holcombe-rucker-park,OpenStreetMap Nominatim,"280 W 155th St, New York, NY 10039","280, West 155th Street, Manhattan Community Board 10, Manhattan, New York County, New York, 10039, United States",1074962572,84.6,City of New York,strong
new-york-city-basketball-the-cage,New York City,basketball,West 4th Street Courts,The Cage,6th Avenue & West 3rd Street,New York,NY,10014,40.7308271,-74.0013897,public_free,outdoor,1,iconic,100,source_verified,official,https://www.nycgovparks.org/parks/west-4th-street-courts/,OpenStreetMap Nominatim,"6th Avenue & West 3rd Street, Manhattan, New York, NY 10014","6th Avenue & West 3rd Street, 6th Avenue, University Village, Manhattan, New York County, New York, 10014, United States",440055116,38.9,City of New York,strong
new-york-city-basketball-dyckman,New York City,basketball,Dyckman Park Courts,Dyckman,4768 Nagle Ave,New York,NY,10034,40.860319,-73.9282121,public_free,outdoor,,iconic,100,source_verified,editorial,https://www.redbull.com/us-en/famous-streetball-courts-usa,OpenStreetMap Nominatim,"4768 Nagle Ave, New York, NY 10034","Nagle Avenue, Fort George, Manhattan Community Board 12, Manhattan, New York County, New York, 10034, United States",766058280,399.5,City of New York,review
new-york-city-basketball-kingdome,New York City,basketball,Kingdome,Kingdome,62 Malcolm X Blvd,New York,NY,10026,40.8003258,-73.9503163,public_free,outdoor,,iconic,100,source_verified,editorial,https://www.redbull.com/us-en/famous-streetball-courts-usa,OpenStreetMap Nominatim,"62 Malcolm X Blvd, New York, NY 10026","62, Malcolm X Boulevard, Harlem, Manhattan Community Board 10, Manhattan, New York County, New York, 10026, United States",225143099,26.1,City of New York,strong
new-york-city-pickleball-marine-park,New York City,pickleball,Marine Park Pickleball Courts,Marine Park,Fillmore Ave & Stuart St,Brooklyn,NY,11234,40.6072902,-73.9393511,public_free,outdoor,8,open_play_anchor,92,source_verified,community,https://www.nycpickleball.com/the-guide,OpenStreetMap Nominatim,"Fillmore Ave & Stuart St, Brooklyn, NY 11234","Fillmore Avenue & Stuart Street, Fillmore Avenue, Brooklyn, Kings County, New York, 11234, United States",,,,not_applicable
new-york-city-pickleball-pier-2,New York City,pickleball,Pier 2 Pickleball Courts,Pier 2,150 Furman St,Brooklyn,NY,11201,40.70189,-73.995468,public_free,outdoor_covered,4,open_play_anchor,92,source_verified,community,https://www.nycpickleball.com/blog/pier-2-pickleball-courts-brooklyn-heights,OpenStreetMap Nominatim,"150 Furman St, Brooklyn, NY 11201","150, Furman Street, Dumbo, Brooklyn, Kings County, New York, 11201, United States",,,,not_applicable
new-york-city-pickleball-john-j-carty,New York City,pickleball,John J. Carty Park,John J. Carty,9902 Fort Hamilton Pkwy,Brooklyn,NY,11209,40.6125402,-74.0316587,public_free,outdoor,4,open_play_anchor,92,source_verified,official,https://www.nycgovparks.org/parks/john-j-carty-park/facilities/pickleball,OpenStreetMap Nominatim,"9902 Fort Hamilton Pkwy, Brooklyn, NY 11209","9902, Fort Hamilton Parkway, Brooklyn, Kings County, New York, 11209, United States",,,,not_applicable
new-york-city-pickleball-james-j-walker,New York City,pickleball,James J. Walker Park,James J. Walker,100 Clarkson St,New York,NY,10014,40.7295766,-74.0076736,public_free,outdoor,2,neighborhood_hub,78,source_verified,official,https://www.nycgovparks.org/facilities/pickleball,OpenStreetMap Nominatim,"100 Clarkson St, New York, NY 10014","Clarkson Street, Hudson Square, Manhattan, New York County, New York, 10014, United States",,,,not_applicable
washington-dc-basketball-banneker,Washington DC,basketball,Banneker Recreation Center,Banneker,2500 Georgia Ave NW,Washington,DC,20001,38.922453,-77.022378,public_free,outdoor,,pickup_anchor,90,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"2500 Georgia Ave NW, Washington, DC 20001","2500, Georgia Avenue Northwest, Pleasant Plains, Ward 1, Washington, District of Columbia, 20001, United States",87483737,99,Washington,nearby
washington-dc-basketball-turkey-thicket,Washington DC,basketball,Turkey Thicket Recreation Center,Turkey Thicket,1100 Michigan Ave NE,Washington,DC,20017,38.9380885,-76.9928164,public_free,mixed,,community_hub,82,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"1100 Michigan Ave NE, Washington, DC 20017","Turkey Thicket Aquatic Center, 1100, Michigan Avenue Northeast, University Heights, Ward 5, Washington, District of Columbia, 20017, United States",982098880,82.8,Washington,strong
washington-dc-basketball-kennedy-rec,Washington DC,basketball,Kennedy Recreation Center,Kennedy Rec,1401 7th St NW,Washington,DC,20001,38.909034,-77.0215468,public_free,mixed,,pickup_anchor,90,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"Kennedy Recreation Center, 1401 7th St NW, Washington, DC 20001","Kennedy Recreation Center, 1401, 7th Street Northwest, Logan Circle/Shaw, Ward 2, Washington, District of Columbia, 20001, United States",197099235,54,Washington,strong
washington-dc-basketball-takoma-rec,Washington DC,basketball,Takoma Recreation Center,Takoma Rec,300 Van Buren St NW,Washington,DC,20012,38.9689287,-77.0179738,public_free,mixed,,community_hub,82,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"300 Van Buren St NW, Washington, DC 20012","300, Van Buren Street Northwest, Brightwood, Ward 4, Washington, District of Columbia, 20012, United States",134179172,182.2,Washington,nearby
washington-dc-pickleball-turkey-thicket,Washington DC,pickleball,Turkey Thicket Pickleball Courts,Turkey Thicket,1100 Michigan Ave NE,Washington,DC,20017,38.9380885,-76.9928164,public_free,mixed,,open_play_anchor,92,source_verified,official,https://dpr.dc.gov/release/dpr-announces-arrival-pickleball,OpenStreetMap Nominatim,"1100 Michigan Ave NE, Washington, DC 20017","Turkey Thicket Aquatic Center, 1100, Michigan Avenue Northeast, University Heights, Ward 5, Washington, District of Columbia, 20017, United States",,,,not_applicable
washington-dc-pickleball-palisades,Washington DC,pickleball,Palisades Recreation Center,Palisades,5200 Sherier Pl NW,Washington,DC,20016,38.9244362,-77.1045859,public_free,mixed,,neighborhood_hub,78,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"Palisades Recreation Center, 5200 Sherier Pl NW, Washington, DC 20016","Palisades Recreation Center, 5200, Sherier Place Northwest, The Palisades, Ward 3, Washington, District of Columbia, 20016, United States",,,,not_applicable
washington-dc-pickleball-hearst,Washington DC,pickleball,Hearst Recreation Center,Hearst,3950 37th St NW,Washington,DC,20008,38.9408873,-77.0716987,public_free,outdoor,,neighborhood_hub,78,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"3950 37th St NW, Washington, DC 20008","Phoebe Hearst Elementary School, 3950, 37th Street Northwest, Cleveland Park, Ward 3, Washington, District of Columbia, 20008, United States",,,,not_applicable
washington-dc-pickleball-edgewood,Washington DC,pickleball,Edgewood Recreation Center,Edgewood,301 Franklin St NE,Washington,DC,20002,38.925512,-77.002286,public_free,indoor,,open_play_anchor,92,source_verified,official,https://dpr.dc.gov/page/athletic-fields-courts,OpenStreetMap Nominatim,"301 Franklin St NE, Washington, DC 20002","301, Franklin Street Northeast, Edgewood, Ward 5, Washington, District of Columbia, 20002, United States",,,,not_applicable
miami-basketball-lummus-park,Miami,basketball,Lummus Park Courts,Lummus Park,1130 Ocean Dr,Miami Beach,FL,33139,25.7823481,-80.1305196,public_free,outdoor,,pickup_anchor,90,source_verified,community,https://fullcourt.io/miami/courts,OpenStreetMap Nominatim,"1130 Ocean Dr, Miami Beach, FL 33139","1130, Ocean Drive, Miami Beach, Miami-Dade County, Florida, 33139, United States",,,,none
miami-basketball-flamingo-park,Miami,basketball,Flamingo Park,Flamingo Park,1200 Meridian Ave,Miami Beach,FL,33139,25.7851826,-80.1375022,public_free,outdoor,,pickup_anchor,90,source_verified,official,https://www.miamibeachfl.gov/parks-facilities/flamingo-park/,OpenStreetMap Nominatim,"1200 Meridian Ave, Miami Beach, FL 33139","1200, Meridian Avenue, Española Way, Miami Beach, Miami-Dade County, Florida, 33139, United States",237435647,105.9,Miami Beach,nearby
miami-basketball-margaret-pace,Miami,basketball,Margaret Pace Park,Margaret Pace,1745 N Bayshore Dr,Miami,FL,33132,25.7933775,-80.1861208,public_free,outdoor,,pickup_anchor,90,source_verified,official,https://www.miami.gov/Parks-Public-Places/Parks-Directory/Margaret-Pace-Park,OpenStreetMap Nominatim,"1745 N Bayshore Dr, Miami, FL 33132","1745, North Bayshore Drive, Miami, Miami-Dade County, Florida, 33132, United States",316001421,232.2,Miami,review
miami-basketball-morningside,Miami,basketball,Morningside Park,Morningside,750 NE 55th Ter,Miami,FL,33137,25.8270704,-80.1802162,public_free,outdoor,,neighborhood_hub,78,source_verified,community,https://fullcourt.io/miami/courts,OpenStreetMap Nominatim,"750 NE 55th Ter, Miami, FL 33137","750, Northeast 55th Terrace, Bayshore, Miami, Miami-Dade County, Florida, 33137, United States",313742328,127.8,Miami,nearby
miami-pickleball-tropical-park,Miami,pickleball,Tropical Park Pickleball Courts,Tropical Park,7900 SW 40th St,Miami,FL,33155,25.732893,-80.319927,public_free,outdoor,,open_play_anchor,92,source_verified,official,https://www.miamidade.gov/parks/tropical.asp,OpenStreetMap Nominatim,"7900 SW 40th St, Miami, FL 33155","7900, Southwest 40th Street, Miami-Dade County, Florida, 33165, United States",,,,not_applicable
miami-pickleball-miami-shores,Miami,pickleball,Miami Shores Tennis & Pickleball Club,Miami Shores,825 NE 100th St,Miami Shores,FL,33138,25.8674557,-80.1807216,public_paid,outdoor,6,open_play_anchor,92,source_verified,venue,https://www.miamishorestennis.com/,OpenStreetMap Nominatim,"825 NE 100th St, Miami Shores, FL 33138","825, Northeast 100th Street, Miami Shores, Miami-Dade County, Florida, 33138, United States",,,,not_applicable
miami-pickleball-north-shore,Miami,pickleball,North Shore Park Pickleball Courts,North Shore,501 72nd St,Miami Beach,FL,33141,25.8573686,-80.1229567,public_paid,outdoor,,open_play_anchor,92,source_verified,venue,https://www.mbtennisacademy.com/pickleball-openplay,OpenStreetMap Nominatim,"501 72nd St, Miami Beach, FL 33141","North Shore Park & Youth Center, 501, 72nd Street, Atlantic Heights, Miami Beach, Miami-Dade County, Florida, 33141, United States",,,,not_applicable
miami-pickleball-palmetto-bay,Miami,pickleball,Palmetto Bay Park,Palmetto Bay,17535 SW 95th Ave,Palmetto Bay,FL,33157,25.6070706,-80.345553,public_free,outdoor,,community_hub,82,source_verified,official,https://www.palmettobay-fl.gov/Facilities/Facility/Details/Palmetto-Bay-Park-5,OpenStreetMap Nominatim,"17535 SW 95th Ave, Palmetto Bay, FL 33157","17535, Southwest 95th Avenue, East Perrine, Palmetto Bay, Miami-Dade County, Florida, 33157, United States",,,,not_applicable
los-angeles-basketball-venice-beach,Los Angeles,basketball,Venice Beach Basketball Courts,Venice Beach,1800 Ocean Front Walk,Venice,CA,90291,33.98567,-118.472727,public_free,outdoor,,iconic,100,source_verified,editorial,https://www.redbull.com/us-en/famous-streetball-courts-usa,OpenStreetMap Nominatim,"1800 Ocean Front Walk, Venice, CA 90291","1800, Ocean Front Walk, Venice Canal Historic District, Venice, Los Angeles, Los Angeles County, California, 90291, United States",35565733,29,Los Angeles,strong
los-angeles-basketball-pan-pacific,Los Angeles,basketball,Pan Pacific Park,Pan Pacific,7600 Beverly Blvd,Los Angeles,CA,90036,34.076049,-118.355142,public_free,outdoor,2,pickup_anchor,90,source_verified,editorial,https://www.cbsnews.com/losangeles/news/best-outdoor-basketball-courts-in-los-angeles,OpenStreetMap Nominatim,"7600 Beverly Blvd, Los Angeles, CA 90036","7600, Beverly Boulevard, Fairfax, Los Angeles, Los Angeles County, California, 90036, United States",202014022,140.7,Los Angeles,nearby
los-angeles-basketball-washington-park,Los Angeles,basketball,Col. Leon H. Washington Park,Washington Park,8908 S Maie Ave,Los Angeles,CA,90002,33.9499854,-118.2445129,public_free,mixed,,iconic,100,source_verified,official,https://locator.lacounty.gov/lac/Location/3179832/col-leon-h-washington-park,OpenStreetMap Nominatim,"8908 S Maie Ave, Los Angeles, CA 90002","Maie Avenue, Los Angeles, Los Angeles County, California, 90002, United States",,,,none
